?,????,????,A???,A???,???:????????
1,000031, ???,113.59,113.59,277.62
2,000034, ????,218.42,218.42,42.18
3,000050, ???A,206.21,206.21,108.57
4,000089, ????,144.99,144.99,91.3
5,000099, ????,179.98,179.98,30.94
6,000158, ????,284.39,284.39,59.88
7,000401, ????,131.85,131.85,50.57
8,000415, ????,220.17,220.17,108.35
9,000516, ????,109.85,109.85,32.49
10,000537, ???,174.01,174.01,62.25
11,000598, ????,218.16,218.16,46.51
12,000620, ???,108.63,108.63,4723.91
13,000623, ????,198.88,198.88,81.71
14,000627, ????,187.25,187.25,112.38
15,000628, ????,190.76,190.76,245.43
16,000686, ????,178.81,178.81,190.84
17,000723, ????,182.57,182.57,105.99
18,000766, ????,143.14,143.14,261.41
19,000783, ????,351.71,351.71,71.36
20,000791, ????,196.58,196.58,41.91
21,000801, ????,139,139,33.45
22,000818, ????,114.03,114.03,4613.78
23,000828, ????,104.68,104.68,783.94
24,000829, ????,102.92,102.92,5931.34
25,000876, ? ? ?,393.3,393.3,102.61
26,000877, ????,378.28,378.28,77.01
27,000883, ????,315.29,315.29,68.65
28,000893, ????,189.43,189.43,32.3
29,000966, ????,153.86,153.86,141.04
30,000980, ????,102.87,102.87,39.53
31,000981, ????,202.95,202.95,81.97
32,000987, ????,323.61,323.61,37.52
33,001227, ????,135.56,135.56,36.93
34,001286, ????,346.5,346.5,63.57
35,002007, ????,289.13,289.13,222.46
36,002024, ST??,190.85,190.85,654.26
37,002044, ????,170.66,170.66,188.96
38,002045, ????,102.09,102.09,83.76
39,002063, ????,108.59,108.59,45.66
40,002091, ????,117.51,117.51,41.52
41,002131, ????,246.48,246.48,213.37
42,002157, ????,254.38,254.38,676.85
43,002176, ????,118.76,118.76,46.12
44,002195, ????,231.24,231.24,59.18
45,002244, ????,267.58,267.58,30.06
46,002251, ST???,114.81,114.81,2291.51
47,002261, ????,212.02,212.02,182.79
48,002265, ????,307.85,307.85,39.25
49,002266, ????,156.58,156.58,66.49
50,002268, ????,134.89,134.89,108.22
51,002273, ????,304.41,304.41,73.09
52,002281, ????,384.18,384.18,106.21
53,002292, ????,144.32,144.32,196.59
54,002299, ????,175.44,175.44,79.55
55,002354, ????,100.93,100.93,102.83
56,002368, ????,143.34,143.34,175.73
57,002372, ????,193.59,193.59,54.28
58,002385, ???,176.73,176.73,331.42
59,002396, ????,115.19,115.19,34.85
60,002402, ???,162.46,162.46,60.68
61,002414, ????,278.45,278.45,236.34
62,002428, ????,119.65,119.65,1450.82
63,002432, ????,194.59,194.59,113.18
64,002439, ????,182.51,182.51,59.19
65,002497, ????,151.68,151.68,67.76
66,002500, ????,215.75,215.75,41.94
67,002506, ????,145.67,145.67,105.44
68,002518, ???,135.54,135.54,51.73
69,002557, ????,138.26,138.26,200.69
70,002583, ???,224.58,224.58,113.74
71,002597, ????,137.65,137.65,37.51
72,002602, ST??,375.61,375.61,38.47
73,002607, ????,200.44,200.44,57.81
74,002653, ???,357.14,357.14,299.79
75,002670, ????,259.3,259.3,79.44
76,002739, ????,232.3,232.3,128.67
77,002747, ???,157.82,157.82,110.57
78,002831, ????,258.31,258.31,128.04
79,002832, ????,108.55,108.55,141.71
80,002837, ???,304.6,304.6,38.52
81,002839, ????,104.37,104.37,31.78
82,002841, ????,244.16,244.16,52.42
83,002881, ????,105.35,105.35,113.6
84,002891, ????,112.47,112.47,64.49
85,002892, ???,101.5,101.5,304.17
86,002895, ????,121.4,121.4,47.14
87,002901, ????,145.4,145.4,34.37
88,002926, ????,211.05,211.05,344.99
89,002967, ????,107.08,107.08,41.3
90,003021, ????,223.99,223.99,69.9
91,300001, ???,251.25,251.25,62.44
92,300002, ????,244.54,244.54,37.36
93,300035, ????,101.24,101.24,67.36
94,300070, ???,167.44,167.44,145.21
95,300077, ????,129.16,129.16,74.67
96,300085, ???,269.16,269.16,30.41
97,300113, ????,113.03,113.03,154.82
98,300133, ????,143.53,143.53,114.66
99,300136, ????,231.54,231.54,558.32
100,300144, ????,235.52,235.52,56.93
101,300170, ????,192.93,192.93,55.52
102,300184, ????,105.71,105.71,85.94
103,300236, ????,114.79,114.79,76.47
104,300253, ????,143.07,143.07,633.03
105,300276, ????,140.1,140.1,1751.64
106,300296, ???,160.82,160.82,100.66
107,300347, ????,363.49,363.49,41.04
108,300357, ????,101.94,101.94,74.48
109,300364, ????,178.47,178.47,53.05
110,300432, ????,199.92,199.92,101.19
111,300450, ????,304.46,304.46,231.79
112,300454, ???,251.19,251.19,111.9
113,300475, ????,127.29,127.29,47.43
114,300496, ????,285.85,285.85,181.89
115,300525, ????,109.67,109.67,374.15
116,300548, ????,160.67,160.67,44.37
117,300558, ????,237.2,237.2,54.52
118,300561, ????,162.68,162.68,62.12
119,300570, ???,269.74,269.74,38.11
120,300595, ????,148.85,148.85,53.1
121,300601, ????,160.5,160.5,66.83
122,300602, ???,111.65,111.65,32.47
123,300613, ???,146.39,146.39,32.21
124,300618, ????,100.45,100.45,278.5
125,300634, ????,133.29,133.29,129.74
126,300638, ???,230.59,230.59,116.85
127,300641, ????,144.94,144.94,137.5
128,300672, ???,137.78,137.78,361.85
129,300678, ????,100.18,100.18,110.8
130,300682, ????,109.32,109.32,131.78
131,300735, ????,207.6,207.6,42.3
132,300748, ????,226.49,226.49,330.27
133,300751, ????,258.34,258.34,89.32
134,300768, ????,112.73,112.73,162.32
135,300776, ????,164.13,164.13,45.89
136,300777, ????,124.48,124.48,178.44
137,300783, ????,129.88,129.88,377.3
138,300803, ???,370.07,370.07,451.07
139,300972, ????,185.03,185.03,168.91
140,301015, ????,122.42,122.42,61.42
141,301035, ????,137.27,137.27,259.1
142,301050, ????,121.83,121.83,50.74
143,301091, ???,168.65,168.65,269.53
144,301165, ????,372.16,372.16,70.3
145,301207, ????,102.48,102.48,1918.14
146,301267, ????,147.59,147.59,55.62
147,600008, ????,231.23,231.23,225.34
148,600021, ????,245.34,245.34,38.56
149,600064, ????,128.39,128.39,63.35
150,600072, ????,179.73,179.73,84.6
151,600095, ????,186.42,186.42,505.8
152,600109, ????,305.17,305.17,406.19
153,600120, ????,173.84,173.84,962.79
154,600133, ????,101.51,101.51,145.9
155,600167, ????,125.59,125.59,138.45
156,600185, ????,112.91,112.91,78.55
157,600206, ????,126.64,126.64,189.28
158,600216, ????,144.92,144.92,185.9
159,600258, ????,149.07,149.07,56.49
160,600269, ????,124.94,124.94,109.97
161,600348, ????,244.23,244.23,37.26
162,600369, ????,289.73,289.73,33.03
163,600378, ????,364.18,364.18,122.47
164,600383, ????,206.77,206.77,88.52
165,600422, ????,122.78,122.78,39.09
