序,股票代码,股票简称,A股市值,A股市值
1,000009, 中国宝安,227.23,227.23
2,000027, 深圳能源,295.43,295.43
3,000028, 国药一致,125.33,125.33
4,000029, 深深房Ａ,138.83,138.83
5,000031, 大悦城,117.44,117.44
6,000032, 深桑达Ａ,291.09,291.09
7,000035, 中国天楹,115.04,115.04
8,000039, 中集集团,188.36,188.36
9,000050, 深天马Ａ,218.49,218.49
10,000060, 中金岭南,173.05,173.05
11,000061, 农 产 品,111.49,111.49
12,000062, 深圳华强,241.92,241.92
13,000065, 北方国际,111.62,111.62
14,000069, 华侨城Ａ,197.73,197.73
15,000088, 盐 田 港,241.78,241.78
16,000089, 深圳机场,138.22,138.22
17,000099, 中信海直,203.48,203.48
18,000155, 川能动力,201.42,201.42
19,000156, 华数传媒,151.94,151.94
20,000400, 许继电气,257.57,257.57
21,000401, 冀东水泥,129.19,129.19
22,000403, 派林生物,156.45,156.45
23,000410, 沈阳机床,137.93,137.93
24,000415, 渤海租赁,219.55,219.55
25,000422, 湖北宜化,126.81,126.81
26,000426, 兴业银锡,226.93,226.93
27,000429, 粤高速Ａ,237.8,237.8
28,000503, 国新健康,116.18,116.18
29,000513, 丽珠集团,215.97,215.97
30,000516, 国际医学,124.1,124.1
31,000519, 中兵红箭,202.76,202.76
32,000528, 柳    工,220.7,220.7
33,000536, 华映科技,149.09,149.09
34,000537, 中绿电,173.39,173.39
35,000539, 粤电力Ａ,201.22,201.22
36,000543, 皖能电力,168.88,168.88
37,000547, 航天发展,110.77,110.77
38,000550, 江铃汽车,120.2,120.2
39,000552, 甘肃能化,138.61,138.61
40,000553, 安道麦A,130.84,130.84
41,000555, 神州信息,116.9,116.9
42,000559, 万向钱潮,209.79,209.79
43,000563, 陕国投Ａ,182.06,182.06
44,000567, 海德股份,123.14,123.14
45,000581, 威孚高科,148.68,148.68
46,000582, 北部湾港,186.08,186.08
47,000591, 太阳能,175.88,175.88
48,000598, 兴蓉环境,203.24,203.24
49,000620, 新华联,108.63,108.63
50,000623, 吉林敖东,198.64,198.64
51,000627, 天茂集团,193.18,193.18
52,000628, 高新发展,202.03,202.03
53,000629, 钒钛股份,265.84,265.84
54,000636, 风华高科,171.82,171.82
55,000657, 中钨高新,195.37,195.37
56,000676, 智度股份,113.62,113.62
57,000680, 山推股份,140.73,140.73
58,000681, 视觉中国,171.08,171.08
59,000682, 东方电子,130.59,130.59
60,000683, 远兴能源,202.66,202.66
61,000685, 中山公用,128.48,128.48
62,000686, 东北证券,186.07,186.07
63,000688, 国城矿业,136.29,136.29
64,000703, 恒逸石化,223.65,223.65
65,000709, 河钢股份,222.25,222.25
66,000712, 锦龙股份,123.65,123.65
67,000719, 中原传媒,115.01,115.01
68,000723, 美锦能源,187.89,187.89
69,000727, 冠捷科技,125.92,125.92
70,000733, 振华科技,223.55,223.55
71,000737, 北方铜业,171.04,171.04
72,000738, 航发控制,254.23,254.23
73,000739, 普洛药业,173.88,173.88
74,000750, 国海证券,266.94,266.94
75,000761, 本钢板材,143.14,143.14
76,000762, 西藏矿业,108.51,108.51
77,000766, 通化金马,155.03,155.03
78,000778, 新兴铸管,139.11,139.11
79,000785, 居然智家,281.46,281.46
80,000791, 甘肃能源,195.28,195.28
81,000795, 英洛华,123.68,123.68
82,000799, 酒鬼酒,146.74,146.74
83,000801, 四川九洲,158.54,158.54
84,000810, 创维数字,164.37,164.37
85,000811, 冰轮环境,100.26,100.26
86,000818, 航锦科技,241.1,241.1
87,000825, 太钢不锈,195.18,195.18
88,000828, 东莞控股,105.61,105.61
89,000829, 天音控股,111.53,111.53
90,000830, 鲁西化工,224.06,224.06
91,000833, 粤桂股份,112.21,112.21
92,000837, 秦川机床,107.59,107.59
93,000839, 中信国安,127,127
94,000860, 顺鑫农业,126.62,126.62
95,000875, 吉电股份,191.52,191.52
96,000878, 云南铜业,253.66,253.66
97,000887, 中鼎股份,227.62,227.62
98,000893, 亚钾国际,202.64,202.64
99,000898, 鞍钢股份,190.53,190.53
100,000902, 新洋丰,150.57,150.57
101,000913, 钱江摩托,101.12,101.12
102,000917, 电广传媒,102.63,102.63
