序,股票代码,股票简称,A股市值,A股市值
1,000008, 神州高铁,73.07,73.07
2,000019, 深粮控股,72.76,72.76
3,000025, 特  力Ａ,64.93,64.93
4,000036, 华联控股,58.02,58.02
5,000070, ST特信,55.28,55.28
6,000078, 海王生物,63.67,63.67
7,000090, 天健集团,73.25,73.25
8,000151, 中成股份,50.17,50.17
9,000404, 长虹华意,55.19,55.19
10,000411, 英特集团,55.89,55.89
11,000501, 武商集团,69.36,69.36
12,000507, 珠海港,51.23,51.23
13,000517, 荣安地产,63.04,63.04
14,000521, 长虹美菱,74.59,74.59
15,000523, 红棉股份,62.96,62.96
16,000524, 岭南控股,70.51,70.51
17,000526, 学大教育,59.68,59.68
18,000531, 穗恒运Ａ,68.52,68.52
19,000532, 华金资本,53.84,53.84
20,000551, 创元科技,53.56,53.56
21,000560, 我爱我家,72.78,72.78
22,000561, 烽火电子,50.4,50.4
23,000566, 海南海药,60.07,60.07
24,000572, 海马汽车,66.77,66.77
25,000592, 平潭发展,58.92,58.92
26,000595, 宝塔实业,70.14,70.14
27,000597, 东北制药,73.46,73.46
28,000601, 韶能股份,64.18,64.18
29,000631, 顺发恒业,69.46,69.46
30,000652, 泰达股份,59.02,59.02
31,000665, 湖北广电,59.93,59.93
32,000670, 盈方微,56.75,56.75
33,000678, 襄阳轴承,60.39,60.39
34,000697, 炼石航空,71.94,71.94
35,000710, 贝瑞基因,51.19,51.19
36,000711, *ST京蓝,50.57,50.57
37,000716, 黑芝麻,50.41,50.41
38,000717, 中南股份,69.32,69.32
39,000718, 苏宁环球,68.58,68.58
40,000721, 西安饮食,56.65,56.65
41,000722, 湖南发展,50.13,50.13
42,000735, 罗 牛 山,73.12,73.12
43,000751, 锌业股份,50.08,50.08
44,000753, 漳州发展,53.84,53.84
45,000755, 山西高速,73.22,73.22
46,000756, 新华制药,74.71,74.71
47,000759, 中百集团,54.47,54.47
48,000777, 中核科技,70.93,70.93
49,000796, 凯撒旅业,67.2,67.2
50,000813, 德展健康,74.69,74.69
51,000816, 智慧农业,50.79,50.79
52,000819, 岳阳兴长,63.4,63.4
53,000822, 山东海化,58.81,58.81
54,000823, 超声电子,58.1,58.1
55,000868, 安凯客车,62.2,62.2
56,000881, 中广核技,69.11,69.11
57,000882, 华联股份,65.7,65.7
58,000886, 海南高速,65.86,65.86
59,000900, 现代投资,64.96,64.96
60,000903, 云内动力,70.97,70.97
61,000905, 厦门港务,57.56,57.56
62,000915, 华特达因,67.7,67.7
63,000925, 众合科技,56.36,56.36
64,000936, 华西股份,66.45,66.45
65,000948, 南天信息,70.68,70.68
66,000957, 中通客车,64.15,64.15
67,000968, 蓝焰控股,64.73,64.73
68,000973, 佛塑科技,65.2,65.2
69,000989, ST九芝,72.5,72.5
70,001208, 华菱线缆,61.03,61.03
71,001236, 弘业期货,71.34,71.34
72,001258, 立新能源,64.87,64.87
73,001267, 汇绿生态,72.11,72.11
74,001270, 铖昌科技,63.05,63.05
75,001279, 强邦新材,63.04,63.04
76,001288, 运机集团,53.17,53.17
77,001298, 好上好,53.45,53.45
78,001306, 夏厦精密,50.83,50.83
79,001311, 多利科技,71.78,71.78
80,001313, 粤海饲料,63,63
81,001314, 亿道信息,70.78,70.78
82,001328, 登康口腔,67.04,67.04
83,001330, 博纳影业,64.05,64.05
84,001338, 永顺泰,58.75,58.75
85,001359, 平安电工,58.49,58.49
86,001376, 百通能源,64.99,64.99
87,001380, 华纬科技,60.17,60.17
88,001896, 豫能控股,64.24,64.24
89,002009, 天奇股份,63.96,63.96
90,002014, 永新股份,71.48,71.48
91,002017, 东信和平,59.32,59.32
92,002026, 山东威达,53.57,53.57
93,002033, 丽江股份,53.91,53.91
94,002035, 华帝股份,63.23,63.23
95,002038, 双鹭药业,70.58,70.58
96,002039, 黔源电力,73.67,73.67
97,002057, 中钢天源,69.63,69.63
98,002059, 云南旅游,59.63,59.63
99,002062, 宏润建设,61.74,61.74
100,002086, 东方海洋,63.67,63.67
101,002088, 鲁阳节能,65.83,65.83
102,002103, 广博股份,51.24,51.24
103,002104, 恒宝股份,50.54,50.54
104,002108, 沧州明珠,59.79,59.79
105,002111, 威海广泰,59.69,59.69
106,002117, 东港股份,74.89,74.89
107,002119, 康强电子,62.26,62.26
108,002121, 科陆电子,74.57,74.57
109,002124, ST天邦,68.88,68.88
110,002125, 湘潭电化,70.06,70.06
111,002134, 天津普林,58.36,58.36
112,002146, 荣盛发展,70.01,70.01
113,002150, 通润装备,51.47,51.47
114,002154, 报 喜 鸟,62.46,62.46
115,002166, 莱茵生物,61.48,61.48
116,002167, 东方锆业,72.82,72.82
117,002175, 东方智造,66.78,66.78
118,002181, 粤 传 媒,63.28,63.28
119,002189, 中光学,50.7,50.7
120,002190, 成飞集成,65.25,65.25
121,002191, 劲嘉股份,55.02,55.02
122,002206, 海 利 得,60.32,60.32
123,002208, 合肥城建,53.9,53.9
124,002210, 飞马国际,65.47,65.47
125,002214, 大立科技,62.2,62.2
126,002218, 拓日新能,50.02,50.02
127,002225, 濮耐股份,57.9,57.9
128,002229, 鸿博股份,63.26,63.26
129,002238, 天威视讯,72.47,72.47
130,002246, 北化股份,59.24,59.24
131,002250, 联化科技,65.07,65.07
132,002255, 海陆重工,66.64,66.64
133,002258, 利尔化学,73.48,73.48
134,002279, 久其软件,56.63,56.63
135,002284, 亚太股份,73.39,73.39
136,002290, 禾盛新材,65.63,65.63
137,002291, 遥望科技,62.11,62.11
138,002293, 罗莱生活,68.9,68.9
139,002300, 太阳电缆,60.89,60.89
140,002301, 齐心集团,53.23,53.23
141,002303, 美盈森,54.97,54.97
142,002314, 南山控股,63.36,63.36
143,002321, 华英农业,51.83,51.83
144,002322, 理工能科,52.44,52.44
145,002327, 富安娜,70.12,70.12
146,002334, 英威腾,72.57,72.57
147,002342, 巨力索具,62.88,62.88
148,002344, 海宁皮城,54.9,54.9
149,002345, 潮宏基,68.95,68.95
150,002346, 柘中股份,52.81,52.81
151,002349, 精华制药,60.82,60.82
152,002358, 森源电气,55.79,55.79
153,002361, 神剑股份,61.34,61.34
154,002362, 汉王科技,55.12,55.12
155,002367, 康力电梯,59.67,59.67
156,002369, 卓翼科技,58.45,58.45
157,002375, 亚厦股份,53.47,53.47
158,002376, 新北洋,55.85,55.85
159,002380, 科远智慧,60.5,60.5
160,002382, 蓝帆医疗,51.87,51.87
161,002383, 合众思壮,59.75,59.75
162,002386, 天原股份,60.66,60.66
163,002390, 信邦制药,74.26,74.26
164,002392, 北京利尔,59.52,59.52
165,002401, 中远海科,64.67,64.67
166,002403, 爱仕达,52.94,52.94
167,002406, 远东传动,60.9,60.9
168,002413, 雷科防务,61.9,61.9
169,002419, 天虹股份,59.26,59.26
170,002424, ST百灵,62.61,62.61
171,002427, 尤夫股份,56.76,56.76
172,002437, 誉衡药业,56.31,56.31
173,002438, 江苏神通,62.48,62.48
174,002441, 众业达,54.84,54.84
175,002445, 中南文化,58.6,58.6
176,002446, 盛路通信,60.23,60.23
177,002448, 中原内配,51.72,51.72
178,002449, 国星光电,60.67,60.67
179,002455, 百川股份,50.81,50.81
180,002469, 三维化学,56.84,56.84
181,002470, 金正大,60.79,60.79
182,002478, 常宝股份,50.11,50.11
183,002481, 双塔食品,62.67,62.67
184,002482, 广田集团,70.52,70.52
185,002483, 润邦股份,64.27,64.27
186,002491, 通鼎互联,59.16,59.16
187,002510, 天汽模,57.56,57.56
188,002512, 达华智能,55.86,55.86
189,002514, 宝馨科技,50.26,50.26
190,002515, 金字火腿,63.8,63.8
191,002519, 银河电子,59.02,59.02
192,002520, 日发精机,61.37,61.37
193,002521, 齐峰新材,51.13,51.13
194,002523, 天桥起重,59.22,59.22
195,002537, 海联金汇,69.5,69.5
196,002538, 司尔特,53.6,53.6
197,002542, 中化岩土,64.48,64.48
198,002547, 春兴精工,54.03,54.03
199,002550, 千红制药,74.23,74.23
200,002552, 宝鼎科技,60.79,60.79
201,002556, 辉隆股份,52.82,52.82
202,002559, 亚威股份,57.73,57.73
203,002567, 唐人神,72.37,72.37
204,002570, 贝因美,57.03,57.03
205,002573, 清新环境,58.4,58.4
206,002575, 群兴玩具,59.39,59.39
207,002577, 雷柏科技,62.8,62.8
208,002579, 中京电子,51.28,51.28
209,002580, 圣阳股份,61.73,61.73
210,002581, 未名医药,64.39,64.39
211,002585, 双星新材,60.7,60.7
212,002590, 万安科技,71.42,71.42
213,002599, 盛通股份,54.3,54.3
214,002609, 捷顺科技,60.92,60.92
215,002612, 朗姿股份,68.98,68.98
216,002630, 华西能源,67.42,67.42
217,002632, 道明光学,56.28,56.28
218,002636, 金安国纪,64.43,64.43
219,002639, 雪人股份,66.75,66.75
220,002640, 跨境通,59.21,59.21
221,002641, 公元股份,57.77,57.77
222,002642, 荣联科技,51.93,51.93
223,002645, 华宏科技,53.67,53.67
224,002647, *ST仁东,66.8,66.8
225,002650, ST加加,56.79,56.79
226,002651, 利君股份,74.41,74.41
227,002655, 共达电声,55.8,55.8
228,002657, 中科金财,67.53,67.53
229,002662, 京威股份,62.7,62.7
230,002664, 信质集团,73.16,73.16
231,002678, 珠江钢琴,63.1,63.1
232,002685, 华东重机,64.79,64.79
233,002695, 煌上煌,61.26,61.26
234,002708, 光洋股份,74.31,74.31
235,002717, 岭南股份,59.89,59.89
236,002721, ST金一,69.68,69.68
237,002724, 海洋王,59.02,59.02
238,002726, 龙大美食,68.63,68.63
239,002730, 电光科技,61.3,61.3
240,002733, 雄韬股份,68.39,68.39
241,002746, 仙坛股份,52.41,52.41
242,002749, 国光股份,66.89,66.89
243,002752, 昇兴股份,58.81,58.81
